genename,Tot.var,at_least_1patho,Tot.mis.var,Frac.P,Frac.LP,Frac.P.LP,Frac.B,Frac.LB,Frac.B.LB,Frac.VUS,Frac.conflict,Len.of.Protein,cancer.gene,Norm.tot.mis.var,Ps_cnt,Ps_IR_cnt,Ps_b_cnt,Ps_p_cnt,p.ir,p.b,p.p,Bs_cnt,Bs_IR_cnt,Bs_b_cnt,Bs_p_cnt,b.ir,b.b,b.p,VUS_cnt,VUS_IR_cnt,VUS_b_cnt,VUS_p_cnt,vus.ir,vus.b,vus.p,gnomad_var,gnomad_revel,gnomad_revel_IR,gnomad_IR_frac,gnomad_mis,gnomad_mis_revel,gnomad_mis_revel_IR,gnomad_mis_revel_IR_frac
AANAT,6,N,3,0,0,0,0.333333333,0.333333333,0,0.333333333,0,207,N,0.014492754,0,0,0,0,0,0,0,2,1,1,0,0.5,0.5,0,1,0,1,0,0,1,0,1078,396,104,0.262626263,157,157,39,0.248407643
AAR2,2,Y,2,0,0.5,0,0,0.5,0,0,0,384,N,0.005208333,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,445,222,47,0.211711712,222,222,47,0.211711712
AARD,1,N,0,0,0,0,0,0,0,0,0,165,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,95,2,0.021052632,95,95,2,0.021052632
AARS1,571,Y,276,0.010869565,0.018115942,0,0.003623188,0.02173913,0.018115942,0.880434783,0.047101449,968,N,0.285123967,8,1,0,7,0.125,0,0.875,12,3,6,3,0.25,0.5,0.25,243,73,84,86,0.300411523,0.345679012,0.353909465,NA,NA,NA,NA,NA,NA,NA,NA
AASDH,1,N,1,0,0,0,1,0,0,0,0,1098,N,0.000910747,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1206,575,125,0.217391304,549,549,124,0.225865209
AASS,52,Y,18,0.166666667,0.111111111,0,0.111111111,0.166666667,0,0.444444444,0,926,N,0.019438445,5,1,1,3,0.2,0.2,0.6,5,0,5,0,0,1,0,8,3,4,1,0.375,0.5,0.125,1227,452,119,0.263274336,348,347,100,0.288184438
ABAT,327,Y,104,0.076923077,0.009615385,0,0.019230769,0.028846154,0,0.817307692,0.048076923,500,N,0.208,9,1,0,8,0.111111111,0,0.888888889,3,2,1,0,0.666666667,0.333333333,0,83,34,26,23,0.409638554,0.313253012,0.277108434,1107,269,92,0.342007435,268,268,92,0.343283582
ABCA1,499,Y,109,0.100917431,0.009174312,0.009174312,0.082568807,0.064220183,0.073394495,0.431192661,0.229357798,2261,N,0.048208757,13,0,0,13,0,0,1,24,12,8,4,0.5,0.333333333,0.166666667,47,16,10,21,0.340425532,0.212765957,0.446808511,3117,1094,448,0.409506399,989,989,422,0.42669363
ABCA10,2,N,0,0,0,0,0,0,0,0,0,1543,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2238,824,290,0.351941748,786,786,275,0.349872774
ABCA12,298,Y,110,0.045454545,0.081818182,0.009090909,0.1,0.036363636,0.063636364,0.590909091,0.072727273,2595,N,0.04238921,15,1,0,14,0.066666667,0,0.933333333,22,9,13,0,0.409090909,0.590909091,0,65,22,28,15,0.338461538,0.430769231,0.230769231,3190,1216,438,0.360197368,1196,1196,438,0.366220736
ABCA13,41,Y,25,0,0,0,0.72,0.16,0,0.12,0,5058,N,0.004942665,0,0,0,0,0,0,0,22,13,6,3,0.590909091,0.272727273,0.136363636,3,1,1,1,0.333333333,0.333333333,0.333333333,5624,2783,766,0.275242544,1665,1655,564,0.340785498
ABCA2,61,Y,12,0,0,0,0.25,0.25,0,0.416666667,0.083333333,2435,N,0.004928131,0,0,0,0,0,0,0,9,2,7,0,0.222222222,0.777777778,0,5,4,1,0,0.8,0.2,0,4340,1457,543,0.372683596,1037,1037,479,0.461909354
ABCA3,358,Y,128,0.0390625,0.046875,0,0.015625,0.046875,0.015625,0.6875,0.1171875,1704,N,0.075117371,11,1,0,10,0.090909091,0,0.909090909,14,2,8,4,0.142857143,0.571428571,0.285714286,91,32,32,27,0.351648352,0.351648352,0.296703297,2800,1049,389,0.370829361,1007,1007,387,0.384309831
ABCA4,2014,Y,911,0.054884742,0.129527991,0.073545554,0.003293085,0.007683864,0.008781559,0.502744237,0.141602634,2273,N,0.400791905,233,18,3,212,0.077253219,0.012875536,0.909871245,17,5,11,1,0.294117647,0.647058824,0.058823529,453,160,63,230,0.353200883,0.139072848,0.507726269,3679,1380,543,0.393478261,1339,1339,536,0.40029873
ABCA5,30,Y,13,0,0,0,0.307692308,0.692307692,0,0,0,1642,N,0.007917174,0,0,0,0,0,0,0,13,5,5,3,0.384615385,0.384615385,0.230769231,0,0,0,0,0,0,0,1927,727,279,0.383768913,727,727,279,0.383768913
ABCA7,75,N,33,0,0,0,0.424242424,0.393939394,0,0.181818182,0,2146,N,0.015377446,0,0,0,0,0,0,0,27,12,12,3,0.444444444,0.444444444,0.111111111,6,3,2,1,0.5,0.333333333,0.166666667,4761,1348,502,0.372403561,1542,1542,660,0.428015564
ABCA8,6,N,2,0,0,0,1,0,0,0,0,1621,N,0.001233806,0,0,0,0,0,0,0,2,1,1,0,0.5,0.5,0,0,0,0,0,0,0,0,2273,871,359,0.41216992,847,847,353,0.416765053
ABCB1,32,Y,12,0.083333333,0.083333333,0,0.5,0,0,0.25,0,1280,N,0.009375,2,1,0,1,0.5,0,0.5,6,2,4,0,0.333333333,0.666666667,0,3,1,1,1,0.333333333,0.333333333,0.333333333,1841,655,235,0.358778626,588,588,218,0.370748299
ABCB10,3,N,1,0,0,0,1,0,0,0,0,761,N,0.00131406,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,823,285,87,0.305263158,285,285,87,0.305263158
ABCB11,718,Y,217,0.059907834,0.032258065,0.01843318,0.023041475,0.023041475,0.01843318,0.737327189,0.082949309,1321,N,0.164269493,24,0,0,24,0,0,1,14,7,7,0,0.5,0.5,0,160,40,28,92,0.25,0.175,0.575,1705,639,210,0.328638498,638,638,209,0.327586207
ABCB4,365,Y,150,0.02,0.033333333,0.02,0.02,0.013333333,0.006666667,0.82,0.066666667,1286,N,0.116640747,12,1,1,10,0.083333333,0.083333333,0.833333333,6,1,4,1,0.166666667,0.666666667,0.166666667,122,30,28,64,0.245901639,0.229508197,0.524590164,1556,580,206,0.355172414,545,545,199,0.365137615
ABCB5,6,N,4,0,0,0,0.75,0.25,0,0,0,1257,N,0.00318218,0,0,0,0,0,0,0,4,3,1,0,0.75,0.25,0,0,0,0,0,0,0,0,2055,839,278,0.331346841,600,595,177,0.297478992
ABCB6,45,Y,23,0.391304348,0,0,0.217391304,0.173913043,0,0.130434783,0.043478261,842,N,0.027315914,9,3,1,5,0.333333333,0.111111111,0.555555556,10,3,3,4,0.3,0.3,0.4,3,1,0,2,0.333333333,0,0.666666667,2505,1119,245,0.218945487,516,516,167,0.323643411
ABCB7,101,Y,29,0.137931034,0.137931034,0,0.206896552,0.206896552,0.034482759,0.275862069,0,752,N,0.03856383,8,1,0,7,0.125,0,0.875,13,4,7,2,0.307692308,0.538461538,0.153846154,8,3,2,3,0.375,0.25,0.375,550,152,57,0.375,148,148,57,0.385135135
ABCB8,9,N,3,0,0,0,1,0,0,0,0,735,N,0.004081633,0,0,0,0,0,0,0,3,1,2,0,0.333333333,0.666666667,0,0,0,0,0,0,0,0,2118,892,223,0.25,467,467,134,0.286937901
ABCC1,42,Y,6,0.166666667,0,0,0.166666667,0,0,0.166666667,0.166666667,1531,N,0.003919007,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,2459,801,274,0.342072409,764,764,266,0.348167539
ABCC10,1,N,1,0,0,0,1,0,0,0,0,1492,N,0.000670241,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2361,1104,279,0.252717391,823,823,209,0.253948967
ABCC11,15,N,9,0,0,0,0.666666667,0.333333333,0,0,0,1382,N,0.006512301,0,0,0,0,0,0,0,9,4,4,1,0.444444444,0.444444444,0.111111111,0,0,0,0,0,0,0,2142,835,269,0.322155689,811,811,260,0.320591862
ABCC12,8,N,2,0,0,0,1,0,0,0,0,1359,N,0.00147167,0,0,0,0,0,0,0,3,2,1,0,0.666666667,0.333333333,0,0,0,0,0,0,0,0,2034,831,287,0.345367028,795,795,269,0.33836478
ABCC2,397,Y,177,0.02259887,0.005649718,0.005649718,0.056497175,0.028248588,0.02259887,0.796610169,0.062146893,1545,N,0.114563107,6,0,0,6,0,0,1,20,4,14,2,0.2,0.7,0.1,140,40,48,52,0.285714286,0.342857143,0.371428571,2162,885,241,0.272316384,815,815,220,0.26993865
ABCC3,11,N,6,0,0,0,0.5,0.333333333,0,0.166666667,0,1527,N,0.003929273,0,0,0,0,0,0,0,5,1,4,0,0.2,0.8,0,1,0,0,1,0,0,1,2459,989,251,0.253791709,862,862,239,0.277262181
ABCC4,15,N,5,0,0,0,0.8,0.2,0,0,0,1325,N,0.003773585,0,0,0,0,0,0,0,5,2,3,0,0.4,0.6,0,0,0,0,0,0,0,0,1831,601,240,0.399334443,601,601,240,0.399334443
ABCC5,3,N,0,0,0,0,0,0,0,0,0,1437,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1824,586,189,0.322525597,526,526,184,0.349809886
ABCC6,546,Y,269,0.197026022,0.111524164,0.011152416,0.063197026,0.059479554,0.011152416,0.513011152,0.033457249,1503,N,0.178975383,87,4,1,82,0.045977011,0.011494253,0.942528736,40,11,26,3,0.275,0.65,0.075,140,36,23,81,0.257142857,0.164285714,0.578571429,2405,981,320,0.326197757,947,947,316,0.333685322
ABCC8,957,Y,207,0.183574879,0.120772947,0.072463768,0.009661836,0.024154589,0.004830918,0.425120773,0.15942029,1581,N,0.130929791,82,15,2,65,0.182926829,0.024390244,0.792682927,57,12,44,1,0.210526316,0.771929825,0.01754386,89,40,13,36,0.449438202,0.146067416,0.404494382,2575,94,42,0.446808511,755,755,321,0.425165563
ABCC9,834,Y,279,0.028673835,0.053763441,0.007168459,0,0.010752688,0.003584229,0.849462366,0.046594982,1549,N,0.180116204,25,2,0,23,0.08,0,0.92,4,1,2,1,0.25,0.5,0.25,234,95,39,100,0.405982906,0.166666667,0.427350427,1948,440,171,0.388636364,434,434,175,0.403225806
ABCD1,672,Y,288,0.138888889,0.152777778,0.059027778,0.045138889,0.041666667,0.010416667,0.472222222,0.079861111,745,N,0.386577181,104,6,2,96,0.057692308,0.019230769,0.923076923,66,15,45,6,0.227272727,0.681818182,0.090909091,137,25,17,95,0.182481752,0.124087591,0.693430657,871,369,110,0.298102981,252,252,100,0.396825397
ABCD3,13,Y,4,0,0,0,0.25,0,0,0.75,0,659,N,0.006069803,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,0,0,3,0,0,1,1028,243,115,0.473251029,215,215,107,0.497674419
ABCD4,227,Y,73,0.01369863,0.01369863,0,0.136986301,0.178082192,0.02739726,0.589041096,0.04109589,606,N,0.120462046,3,2,0,1,0.666666667,0,0.333333333,50,13,34,3,0.26,0.68,0.06,43,20,7,16,0.465116279,0.162790698,0.372093023,1267,518,179,0.345559846,293,293,125,0.42662116
ABCE1,4,N,0,0,0,0,0,0,0,0,0,599,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,758,125,58,0.464,112,112,52,0.464285714
ABCF1,3,N,3,0,0,0,0.666666667,0.333333333,0,0,0,845,N,0.003550296,0,0,0,0,0,0,0,3,0,2,1,0,0.666666667,0.333333333,0,0,0,0,0,0,0,1179,334,97,0.290419162,334,334,97,0.290419162
ABCG1,5,N,0,0,0,0,0,0,0,0,0,678,N,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,1399,532,123,0.231203008,405,405,114,0.281481481
ABCG2,16,N,3,0,0,0,0,0,0,0.333333333,0,655,N,0.004580153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1081,447,140,0.313199105,405,405,136,0.335802469
ABCG4,3,N,1,0,0,0,1,0,0,0,0,646,N,0.001547988,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,901,33,8,0.242424242,270,270,81,0.3
ABCG5,66,Y,33,0,0,0,0.03030303,0.03030303,0.060606061,0.818181818,0.060606061,651,N,0.050691244,0,0,0,0,0,0,0,4,3,1,0,0.75,0.25,0,27,7,16,4,0.259259259,0.592592593,0.148148148,1072,385,139,0.361038961,364,364,133,0.365384615
ABCG8,303,Y,118,0.016949153,0,0.008474576,0.059322034,0.016949153,0.016949153,0.813559322,0.06779661,673,N,0.175334324,3,1,0,2,0.333333333,0,0.666666667,11,4,7,0,0.363636364,0.636363636,0,95,35,45,15,0.368421053,0.473684211,0.157894737,1246,513,188,0.366471735,513,513,188,0.366471735
ABHD11,1,N,1,0,0,0,0,0,0,0,0,315,N,0.003174603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,184,43,0.233695652,177,177,43,0.242937853
ABHD12,263,Y,88,0.011363636,0.022727273,0,0.034090909,0.011363636,0,0.852272727,0.068181818,398,N,0.221105528,3,1,1,1,0.333333333,0.333333333,0.333333333,4,0,4,0,0,1,0,75,24,49,2,0.32,0.653333333,0.026666667,734,191,46,0.240837696,174,174,46,0.264367816
ABHD16A,9,Y,5,0.2,0,0,0,0,0,0.8,0,558,N,0.008960573,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,1,0.75,0,0.25,857,270,55,0.203703704,112,112,33,0.294642857
ABHD18,5,N,0,0,0,0,0,0,0,0,0,464,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABHD2,4,N,0,0,0,0,0,0,0,0,0,425,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,578,163,41,0.251533742,162,162,40,0.24691358
ABHD3,1,N,0,0,0,0,0,0,0,0,0,409,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,570,187,47,0.251336898,186,186,47,0.252688172
ABHD5,163,Y,19,0.157894737,0,0,0.052631579,0.105263158,0.105263158,0.578947368,0,349,N,0.054441261,4,1,0,3,0.25,0,0.75,5,2,3,0,0.4,0.6,0,13,6,5,2,0.461538462,0.384615385,0.153846154,504,189,93,0.492063492,61,61,36,0.590163934
ABHD6,1,N,0,0,0,0,0,0,0,0,0,337,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,485,172,59,0.343023256,168,168,59,0.351190476
ABHD8,1,N,0,0,0,0,0,0,0,0,0,439,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689,210,34,0.161904762,222,222,34,0.153153153
ABI1,6,N,0,0,0,0,0,0,0,0,0,508,Y,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,777,230,67,0.291304348,170,170,56,0.329411765
ABI3,3,N,0,0,0,0,0,0,0,0,0,366,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,928,388,64,0.164948454,208,208,32,0.153846154
ABL1,74,Y,47,0.14893617,0.106382979,0.106382979,0.106382979,0.063829787,0,0.127659574,0.021276596,1130,Y,0.04159292,17,8,1,8,0.470588235,0.058823529,0.470588235,9,2,6,1,0.222222222,0.666666667,0.111111111,6,2,3,1,0.333333333,0.5,0.166666667,1329,558,98,0.17562724,529,529,96,0.18147448
ABL2,6,N,3,0,0,0,0.333333333,0.333333333,0,0.333333333,0,1182,Y,0.002538071,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,1,0,0,1,0,0,1287,548,119,0.217153285,477,477,112,0.234800839
ABLIM3,3,N,0,0,0,0,0,0,0,0,0,683,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1279,387,121,0.312661499,384,384,121,0.315104167
ABO,14,N,4,0,0,0,0.75,0,0,0,0,373,N,0.010723861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,582,NA,NA,NA,NA,NA,NA,NA
ABR,6,N,4,0,0,0,1,0,0,0,0,859,N,0.004656577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,375,110,0.293333333,291,291,83,0.285223368
ABRAXAS1,285,N,155,0,0,0,0.006451613,0.032258065,0.019354839,0.896774194,0.04516129,409,N,0.378973105,0,0,0,0,0,0,0,9,0,9,0,0,1,0,139,27,112,0,0.194244604,0.805755396,0,NA,NA,NA,NA,NA,NA,NA,NA
ACAA1,1,N,1,0,0,0,1,0,0,0,0,424,N,0.002358491,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1573,681,145,0.212922173,156,156,57,0.365384615
ACAA2,1,N,1,0,0,0,1,0,0,0,0,397,N,0.002518892,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,785,225,63,0.28,224,224,62,0.276785714
ACACA,6,N,3,0,0,0,0,0,0,1,0,2346,N,0.001278772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,2490,565,187,0.330973451,558,558,183,0.327956989
ACACB,55,N,16,0,0,0,0.25,0.4375,0,0.1875,0.0625,2458,N,0.006509357,0,0,0,0,0,0,0,11,5,5,1,0.454545455,0.454545455,0.090909091,3,2,1,0,0.666666667,0.333333333,0,3679,1218,362,0.297208539,1362,1362,432,0.317180617
ACAD11,1,N,0,0,0,0,0,0,0,0,0,780,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1130,404,118,0.292079208,370,370,107,0.289189189
ACAD8,168,Y,62,0.016129032,0.048387097,0,0.016129032,0.032258065,0,0.758064516,0.129032258,415,N,0.14939759,4,1,1,2,0.25,0.25,0.5,7,2,5,0,0.285714286,0.714285714,0,48,10,3,35,0.208333333,0.0625,0.729166667,1283,46,10,0.217391304,223,223,60,0.269058296
ACAD9,396,Y,80,0.075,0.1125,0.025,0.0125,0.1625,0.0375,0.475,0.1,621,N,0.128824477,17,3,0,14,0.176470588,0,0.823529412,40,12,26,2,0.3,0.65,0.05,39,12,7,20,0.307692308,0.179487179,0.512820513,1531,491,150,0.305498982,370,370,140,0.378378378
ACADL,10,N,4,0,0,0,0.5,0,0,0.25,0.25,504,N,0.007936508,0,0,0,0,0,0,0,2,1,0,1,0.5,0,0.5,1,0,0,1,0,0,1,584,201,60,0.298507463,200,200,59,0.295
ACADM,410,Y,148,0.108108108,0.094594595,0.121621622,0.006756757,0.013513514,0,0.486486486,0.168918919,454,N,0.325991189,48,8,1,39,0.166666667,0.020833333,0.8125,3,2,0,1,0.666666667,0,0.333333333,71,14,1,56,0.197183099,0.014084507,0.788732394,556,155,49,0.316129032,155,152,47,0.309210526
ACADS,198,Y,100,0.02,0.08,0.06,0.01,0.03,0.01,0.64,0.15,412,N,0.242718447,13,0,0,13,0,0,1,5,2,2,1,0.4,0.4,0.2,62,13,4,45,0.209677419,0.064516129,0.725806452,800,245,57,0.232653061,242,242,57,0.23553719
ACADSB,225,Y,42,0.071428571,0,0,0.071428571,0.023809524,0,0.761904762,0.071428571,432,N,0.097222222,3,0,0,3,0,0,1,6,1,5,0,0.166666667,0.833333333,0,34,12,6,16,0.352941176,0.176470588,0.470588235,693,263,80,0.30418251,233,233,77,0.330472103
ACADVL,843,Y,354,0.04519774,0.050847458,0.048022599,0.005649718,0.005649718,0.005649718,0.703389831,0.13559322,655,N,0.540458015,51,2,0,49,0.039215686,0,0.960784314,6,1,5,0,0.166666667,0.833333333,0,251,67,24,160,0.266932271,0.09561753,0.637450199,NA,NA,NA,NA,NA,NA,NA,NA
ACAN,283,Y,106,0.056603774,0.018867925,0,0.311320755,0.122641509,0.009433962,0.462264151,0.018867925,2530,N,0.041897233,8,4,2,2,0.5,0.25,0.25,47,2,45,0,0.042553191,0.957446809,0,49,18,29,2,0.367346939,0.591836735,0.040816327,2752,1373,355,0.258557902,1186,1186,272,0.229342327
ACAP1,1,N,1,0,0,0,1,0,0,0,0,740,N,0.001351351,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1639,539,98,0.181818182,315,315,64,0.203174603
ACAP2,1,N,0,0,0,0,0,0,0,0,0,778,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1117,322,67,0.208074534,225,225,54,0.24
ACAT1,332,Y,106,0.075471698,0.264150943,0.08490566,0.009433962,0.047169811,0,0.471698113,0.047169811,427,N,0.24824356,45,7,0,38,0.155555556,0,0.844444444,21,1,20,0,0.047619048,0.952380952,0,51,12,11,28,0.235294118,0.215686275,0.549019608,688,30,8,0.266666667,194,194,62,0.319587629
ACAT2,8,N,2,0,0,0,0.5,0,0,0.5,0,469,N,0.004264392,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,387,78,14,0.179487179,61,61,14,0.229508197
ACBD3,1,N,0,0,0,0,0,0,0,0,0,598,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509,187,37,0.197860963,187,187,37,0.197860963
ACBD5,173,Y,69,0,0,0,0.086956522,0.072463768,0,0.826086957,0.014492754,534,N,0.129213483,0,0,0,0,0,0,0,11,0,11,0,0,1,0,56,7,49,0,0.125,0.875,0,1185,266,31,0.116541353,253,253,31,0.122529644
ACBD6,3,N,0,0,0,0,0,0,0,0,0,282,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441,147,46,0.31292517,144,144,43,0.298611111
ACCS,4,N,2,0,0,0,1,0,0,0,0,501,N,0.003992016,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,789,36,14,0.388888889,290,290,92,0.317241379
ACD,189,Y,74,0,0,0,0.040540541,0.013513514,0,0.932432432,0.013513514,458,N,0.161572052,0,0,0,0,0,0,0,4,1,3,0,0.25,0.75,0,89,6,83,0,0.06741573,0.93258427,0,2334,915,76,0.083060109,347,347,22,0.063400576
ACE,253,Y,94,0.021276596,0.042553191,0,0.106382979,0.085106383,0.042553191,0.680851064,0.010638298,1306,N,0.071975498,5,2,2,1,0.4,0.4,0.2,22,3,19,0,0.136363636,0.863636364,0,62,17,33,12,0.274193548,0.532258065,0.193548387,2485,856,222,0.259345794,515,515,112,0.217475728
ACE2,5,N,3,0,0,0,0,0.666666667,0,0.333333333,0,805,N,0.003726708,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,1,0,0,1,0,0,617,235,78,0.331914894,227,227,75,0.330396476
ACER1,2,N,2,0,0,0,0.5,0.5,0,0,0,326,N,0.006134969,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,432,112,38,0.339285714,151,151,47,0.311258278
ACER3,15,Y,6,0.166666667,0,0,0.166666667,0,0,0.666666667,0,267,N,0.02247191,1,0,0,1,0,0,1,1,0,1,0,0,1,0,4,4,0,0,1,0,0,485,10,3,0.3,31,27,9,0.333333333
ACHE,10,N,4,0,0,0,0.75,0.25,0,0,0,614,N,0.006514658,0,0,0,0,0,0,0,4,1,3,0,0.25,0.75,0,0,0,0,0,0,0,0,1840,678,148,0.218289086,238,238,58,0.243697479
ACKR1,6,Y,3,0.333333333,0,0,0.333333333,0,0,0,0,336,N,0.008928571,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
ACKR3,6,Y,4,0.25,0,0,0.25,0.25,0,0.25,0,362,Y,0.011049724,1,1,0,0,1,0,0,2,0,2,0,0,1,0,1,0,1,0,0,1,0,329,183,39,0.213114754,183,183,39,0.213114754
